sku_id,category,title,description,unit,price_sek
BRD-001,Brand & Identity,Brand discovery & stakeholder workshops,"Kickoff workshop, stakeholder interviews, competitive audit, and alignment on brand direction. Includes up to 3 stakeholder review loops (e.g. Johan-type reviewer). Output: discovery summary document. Scope: ~30h at 1000 SEK/h.",per project,30000
BRD-002,Brand & Identity,Brand concept & direction,"Visual concept development — logo usage system, color palette, typography pairing, graphic language, tone of visual. Presented as 1-2 distinct directions for client to choose from. Scope: ~50h at 1000 SEK/h.",per project,50000
BRD-003,Brand & Identity,Brand guidelines document,"PDF brand book (10-20 pages) documenting logo usage, colors (with hex/RGB/CMYK/Pantone), typography, graphic elements, do's and don'ts, and application examples. Scope: ~25h at 1000 SEK/h.",per project,25000
BRD-004,Brand & Identity,Brand asset kit delivery,"Final digital asset kit: logos in SVG/PNG/PDF (light/dark variants), favicon set, color tokens (CSS/JSON), font files with license info, templated cover images. Zipped and delivered to client Dropbox. Scope: ~12h at 1000 SEK/h.",per project,12000
BRD-005,Brand & Identity,Brand identity — full package,"Bundle of BRD-001 through BRD-004 at a packaged rate. Complete brand identity system from discovery to delivered asset kit. Sriracha leads; client reviews at 3 milestones.",per project,117000
BRD-101,Brand & Identity,Value-words discovery session (compact),"Single 60-min working session to land brand value words and adjacency references. Output: brand attitude summary. Scope: ~10h including prep and write-up.",per project,10000
BRD-102,Brand & Identity,Logo refinement from existing direction,"Iteration on an existing logo/wordmark (not ground-up design). Includes symbol refinement, wordmark lockup, alternate lockups, and monochrome variants. Scope: ~28h at 1000 SEK/h.",per project,28000
BRD-103,Brand & Identity,Color + typography system,"Color palette (primary + secondary + functional) and typography system (display, body, functional). Delivered as tokens and visual reference. Scope: ~20h at 1000 SEK/h.",per project,20000
BRD-104,Brand & Identity,Graphic language rules,"Rules for recurring graphic elements (e.g. swoosh treatments, imagery motifs). Defines when to use each element and what combinations are off-limits. Scope: ~20h at 1000 SEK/h.",per project,20000
BRD-105,Brand & Identity,Brand guidelines document (compact),"Shorter brand lathund (~10 pages) when the system is less complex than a full brand book. Scope: ~20h at 1000 SEK/h.",per project,20000
